SVVD,重箱量,提单箱量,SOC箱量,SOC空箱量,舱单收入,CY-CY收入,数字抬头收入,ARB+ARD,IHL+IHD,小箱UNIT,大箱UNIT,DOC\DCI\SLF,TSD,铁驳费用,手工驳船费,CY-CY含驳,LOCAL CHARGE,BUC,ICD,PSU,DPS,BKF,IBS,IBS返还,电商7开头费用,揽货佣金,景华峰操作费,船代佣金,未输入运费箱量,拖车箱量
IC22QSJ093N,640,640,0,0,1166885,582062,758,188334,264959,502,69,11420,0,26229,162105,744167,130772,297135,8880,57164,18480,23888,31240,8850,755,26996,6480,1266,0,402
IC18TMS009S,1046,1046,0,0,2891391,2114799,3363,151953,497497,586,230,15880,0,142696,9257,2124056,123779,428191,17740,58365,6772,6342,52300,5364,0,35870,15390,6124,0,1049
IC8TNH342N,6,6,0,0,10222,4390,46,1400,1836,4,1,100,0,0,1400,5790,2550,2625,75,236,1600,164,550,100,46,125,180,3,0,4
CF3CIM290N,95,95,8,0,171165,72923,0,63980,22780,87,4,1820,0,0,63980,136903,11482,47137,2880,3164,0,2558,5760,1770,0,2515,60,305,0,21
IC26N3Y044S,686,686,0,0,2409662,1386124,0,528420,385099,678,4,13640,0,0,528420,1914544,110019,355058,7220,47659,4262,6928,51170,22306,0,35045,1260,5488,0,496
IC41TME123S,389,389,0,0,1014901,680879,0,192560,96950,199,95,5020,0,8600,183960,864839,44512,154350,2520,15600,1302,2820,24790,15624,0,14818,540,2525,0,112
IC38CPD036N,244,244,0,0,376864,164287,0,82180,96015,214,15,4580,0,0,82180,246467,34382,120192,3490,5482,0,11500,17400,0,0,8574,1440,373,0,135
IC23TNS179S,508,508,0,0,1098523,351154,1673,349620,293920,450,29,9580,0,4800,344820,695974,102156,251112,8070,12634,43216,22496,23810,147,0,13310,1050,1498,0,573
IC7RRM127N,378,378,0,0,883619,372753,0,327805,135178,342,18,7200,0,134400,193405,566158,47883,189000,2460,14282,744,4177,28680,11500,0,26128,360,1070,0,202
IC6QRR202S,471,471,12,0,795792,519660,1910,97895,65613,181,145,6280,0,0,97895,617555,110713,170444,6035,14396,54922,10305,31090,2880,0,9143,1080,1526,0,121
IC10Q40097N,1332,1332,2,0,1842754,698876,2200,475310,476848,1050,141,23780,0,0,475310,1174186,189521,623901,12225,42282,2880,48039,96320,46890,0,40867,5310,1821,0,635
IC7R8Z119N,267,267,0,0,588269,211234,0,181380,165415,117,75,3840,0,117600,63780,275014,30240,100470,1995,11206,60,2014,16960,9642,0,18519,210,497,0,307
IC20TCR048N,458,458,0,0,644894,188782,130,341515,47397,360,49,8180,0,0,341515,530297,67070,214021,10520,14622,0,16398,36050,4490,0,13469,510,1074,0,57
IC9RIG094S,2181,2181,1,0,5663966,3856163,64298,856465,696529,1899,141,39900,0,547555,308910,4165073,190511,1065555,16840,37960,25507,19550,107494,42642,0,77544,5640,10841,0,1178
IC16R2N108N,673,673,10,0,1110239,520700,0,375865,139109,539,67,12120,13320,65400,310465,831165,74565,318017,3815,13318,504,17813,42930,29514,0,28364,1170,1792,0,341
IC38CPA032S,1750,1750,0,0,4412660,3558568,5,424345,171127,1654,48,34040,0,14920,409425,3967993,258615,893550,29800,73219,1462,22384,161550,66330,0,54557,11130,10828,0,269
CF6RSS094S,1045,1045,0,0,4058272,3396721,0,51950,361545,929,58,20740,0,700,51250,3447971,248056,544425,16095,63436,83980,23640,77000,19713,0,59403,540,10130,0,582
IC18TNX107S,965,965,0,0,3145836,2095268,10198,259939,654044,487,239,13980,0,254879,5060,2100328,126387,380919,13610,68067,6186,6784,45350,2896,0,42793,11370,6243,0,1074
IC8TCY055S,456,456,0,0,1164056,777635,0,163205,33976,448,4,9040,0,0,163205,940840,189240,237300,5800,138016,594,8080,42550,15624,0,13120,1470,2447,0,66
IC16TCS070N,956,956,17,0,1580837,779436,41,482850,194949,702,127,16580,19840,34400,448450,1227886,123561,434832,5075,33212,718,27735,61896,41202,0,40481,1680,2742,0,438
IC2N7X038N,722,722,0,0,1199452,594568,634,0,494802,482,120,12040,0,0,0,594568,109448,316050,20720,40308,120,6020,63000,13510,0,30698,660,861,0,786
IC8QYQ126N,90,90,0,0,173069,39467,56,92400,2600,86,2,1760,0,0,92400,131867,38546,45870,1845,2996,25976,3124,6450,1740,56,2382,90,295,0,4
IC15CAG180S,1369,1369,0,0,3869502,2473795,247,572045,326394,1251,59,26200,0,144385,427660,2901455,497022,687750,13525,345180,21328,21930,108584,38717,0,47705,4200,7914,0,475
CF66RXY102S,1249,1249,14,0,4213245,2558806,10010,796861,583335,1041,104,21680,0,749211,47650,2606456,264233,582225,14195,52080,113311,11850,86992,34245,0,59044,4560,7183,36,639
CF6RYS077N,2946,2946,2000,0,2841512,2106478,18666,65000,465873,466,1240,34120,0,0,65000,2171478,185496,893428,7755,114098,4556,18352,48490,19582,0,70340,5220,4056,0,1131
IC7RRM126S,319,319,0,0,729170,374407,256,146265,165433,295,12,6140,0,0,146265,520672,42809,159444,4635,13448,2122,16867,10372,2500,0,8584,360,1245,0,335
IC18TNX108N,338,338,0,0,440387,221152,2,445,173558,44,147,3820,0,0,445,221597,45230,100275,3620,17332,95,3903,23900,2800,0,11342,3270,173,0,371
IC10Q2P095S,2280,2280,64,0,6276788,4240611,43,1270858,404855,1328,476,34800,0,780288,490570,4731181,360421,947100,29395,135883,36238,8000,180300,57199,0,84918,13350,13364,0,701
IC23TMC186N,24,24,0,0,50740,18928,0,6080,19554,10,7,340,0,0,6080,25008,6178,8881,150,3868,600,410,1300,240,0,1435,0,54,0,36
IC38CPC024S,1741,1741,0,0,4325704,3439204,8,491180,127269,1677,32,34180,0,54020,437160,3876364,268043,897225,28300,69113,12204,24326,162400,61380,0,53572,9480,10465,0,229
IC23T84298S,93,93,0,0,198506,96081,0,6720,60810,93,0,1860,0,0,6720,102801,34895,48825,1455,17670,7460,5115,4650,0,0,2098,120,181,0,107
IC6R6L101S,599,599,8,0,1115565,628854,2693,238040,97159,381,109,9640,0,0,238040,866894,148820,255221,8385,16770,73243,23837,34970,4670,0,12676,1620,2050,0,169
CF6RIU072S,1483,1483,200,0,3628202,2664626,0,30810,687772,837,323,21200,0,1750,29060,2693686,244994,607251,19940,78293,73165,20796,72740,9971,0,47055,9480,7294,0,1216
IC5R4L096S,504,504,8,0,1163770,888695,0,186500,41821,402,51,8740,0,0,186500,1075195,46754,237825,5070,0,2094,4410,40250,25146,0,15917,540,3005,0,78
